,PEOE_VSA6,VSA_EState1,qed,FpDensityMorgan1,MinEStateIndex,FpDensityMorgan3,PEOE_VSA8,FpDensityMorgan2,SlogP_VSA5,MinAbsEStateIndex
168,36.25451224597977,104.76132852523726,0.7566916966877014,1.3529411764705883,-3.425816090325021,2.8823529411764706,17.1370629966211,2.117647058823529,42.009150861004,0.810824974279835
169,30.212093538316477,105.25641508146468,0.7566916966877014,1.2941176470588236,-3.43984670256992,2.588235294117647,28.873409699132857,1.9411764705882355,41.87867435785254,0.8541377314814815
170,36.25451224597977,104.76132852523726,0.7566916966877014,1.3529411764705883,-3.425816090325021,2.8823529411764706,17.1370629966211,2.117647058823529,42.009150861004,0.810824974279835
171,36.25451224597977,105.06242744551524,0.7566916966877014,1.3529411764705883,-3.433926799886625,2.8823529411764706,28.873409699132857,2.117647058823529,41.87867435785254,0.8339731224279834
172,36.25451224597977,105.06242744551524,0.7566916966877014,1.3529411764705883,-3.433926799886625,2.8823529411764706,28.873409699132857,2.117647058823529,41.87867435785254,0.8339731224279834
173,36.25451224597977,105.06242744551524,0.7566916966877014,1.3529411764705883,-3.433926799886625,2.8823529411764706,28.873409699132857,2.117647058823529,41.87867435785254,0.8339731224279834
174,30.212093538316477,105.49339168157206,0.3700354134468748,1.3,-3.711453963529859,2.5,17.567871640007468,1.95,36.12916252456862,0.9259603330032896
175,30.212093538316477,105.49339168157206,0.3700354134468748,1.3,-3.711453963529859,2.5,17.567871640007468,1.95,36.12916252456862,0.9259603330032896
176,48.33934966130636,140.92544331686724,0.2075905946969153,1.0357142857142858,-3.995511371987069,2.357142857142857,28.694774623401457,1.7142857142857142,57.53363691671536,0.9186245971831573
177,30.212093538316477,145.9326681861589,0.263534448714689,1.037037037037037,-3.90912248309818,2.4074074074074074,17.567871640007468,1.7407407407407407,41.61219674924951,0.8438097823683421
178,30.212093538316477,92.8663781021668,0.626803203661894,1.6666666666666667,-3.525859315948603,3.0,15.076443454316998,2.4166666666666665,41.796356427281005,0.8437131912950366
179,37.06398565561216,109.13048252865964,0.6650330710590724,1.7692307692307692,-3.8383593159486047,3.1538461538461537,17.817960566657437,2.5384615384615383,50.91079844095084,0.9234325790501384
180,36.26416528435204,109.90861300075588,0.5387203225899239,2.0,-3.68414351851852,3.4285714285714284,20.07860979947616,2.7857142857142856,44.05890632365514,0.9100738404929876
181,30.212093538316477,92.8663781021668,0.626803203661894,1.6666666666666667,-3.525859315948603,3.0,15.076443454316998,2.4166666666666665,41.796356427281005,0.8437131912950366
182,30.212093538316477,92.8663781021668,0.626803203661894,1.6666666666666667,-3.525859315948603,3.0,15.076443454316998,2.4166666666666665,41.796356427281005,0.8437131912950366
183,30.212093538316477,92.8663781021668,0.626803203661894,1.6666666666666667,-3.525859315948603,3.0,15.076443454316998,2.4166666666666665,41.796356427281005,0.8437131912950366
184,37.06398565561216,109.13048252865964,0.6650330710590724,1.7692307692307692,-3.8383593159486047,3.1538461538461537,17.817960566657437,2.5384615384615383,50.91079844095084,0.9234325790501384
185,36.26416528435204,109.90861300075588,0.5387203225899239,2.0,-3.68414351851852,3.4285714285714284,20.07860979947616,2.7857142857142856,44.05890632365514,0.9100738404929876
186,43.436910556941534,142.12474846728816,0.6892925657500486,1.6666666666666667,-4.340442649281938,3.1333333333333333,23.300994791338315,2.466666666666667,69.13968246829047,1.0419993228772986
187,37.87345906524454,173.57275557674294,0.7281920557985019,1.4705882352941178,-4.1153206624324055,2.823529411764706,21.93213689872352,2.235294117647059,74.58511737368464,1.6226105835852855
188,30.212093538316477,92.8663781021668,0.626803203661894,1.6666666666666667,-3.525859315948603,3.0,15.076443454316998,2.4166666666666665,41.796356427281005,0.8437131912950366
189,37.06398565561216,109.13048252865964,0.6650330710590724,1.7692307692307692,-3.8383593159486047,3.1538461538461537,17.817960566657437,2.5384615384615383,50.91079844095084,0.9234325790501384
190,36.26416528435204,109.90861300075588,0.5387203225899239,2.0,-3.68414351851852,3.4285714285714284,20.07860979947616,2.7857142857142856,44.05890632365514,0.9100738404929876
191,43.436910556941534,142.12474846728816,0.6892925657500486,1.6666666666666667,-4.340442649281938,3.1333333333333333,23.300994791338315,2.466666666666667,69.13968246829047,1.0419993228772986
192,37.87345906524454,173.57275557674294,0.7281920557985019,1.4705882352941178,-4.1153206624324055,2.823529411764706,21.93213689872352,2.235294117647059,74.58511737368464,1.6226105835852855
193,30.212093538316477,92.8663781021668,0.626803203661894,1.6666666666666667,-3.525859315948603,3.0,15.076443454316998,2.4166666666666665,41.796356427281005,0.8437131912950366
194,37.06398565561216,109.13048252865964,0.6650330710590724,1.7692307692307692,-3.8383593159486047,3.1538461538461537,17.817960566657437,2.5384615384615383,50.91079844095084,0.9234325790501384
195,36.26416528435204,109.90861300075588,0.5387203225899239,2.0,-3.68414351851852,3.4285714285714284,20.07860979947616,2.7857142857142856,44.05890632365514,0.9100738404929876
196,43.436910556941534,142.12474846728816,0.6892925657500486,1.6666666666666667,-4.340442649281938,3.1333333333333333,23.300994791338315,2.466666666666667,69.13968246829047,1.0419993228772986
197,37.87345906524454,173.57275557674294,0.7281920557985019,1.4705882352941178,-4.1153206624324055,2.823529411764706,21.93213689872352,2.235294117647059,74.58511737368464,1.6226105835852855
198,42.29693095364306,147.7665723115901,0.2726177107704328,1.1851851851851851,-3.9849558164315138,2.5185185185185186,23.131323131704463,1.8888888888888888,40.24143819307929,0.8932697638918159
199,37.87345906524454,171.19347910201466,0.3388192852090079,1.25,-4.145918103919585,2.458333333333333,29.904698645539444,1.9166666666666667,66.36246670021877,1.29361467091246
200,48.33934966130636,140.92544331686724,0.2075905946969153,1.0357142857142858,-3.995511371987069,2.357142857142857,28.694774623401457,1.7142857142857142,57.53363691671536,0.9186245971831573
201,42.29693095364306,147.7665723115901,0.2726177107704328,1.1851851851851851,-3.9849558164315138,2.5185185185185186,23.131323131704463,1.8888888888888888,40.24143819307929,0.8932697638918159
202,37.87345906524454,171.19347910201466,0.3388192852090079,1.25,-4.145918103919585,2.458333333333333,29.904698645539444,1.9166666666666667,66.36246670021877,1.29361467091246
203,48.33934966130636,140.92544331686724,0.2075905946969153,1.0357142857142858,-3.995511371987069,2.357142857142857,28.694774623401457,1.7142857142857142,57.53363691671536,0.9186245971831573
